ANEXO I – ÁREAS DE TARIFAÇÃO DO STFC;;;;
ÁREA TARIFÁRIA 011: SAO PAULO (LATITUDE: 23º32’51” S LONGITUDE: 46º38’10”);;;;
SP;PARAISO;11442;;PYS
SP;PINDORAMA;11468;;PNM
SP;SALES;11581;;SEK
SP;SANTA ADELIA;11610;;SDL
SP;TABAPUA;11642;;TBA
SP;URUPES;11683;;UUS
ÁREA TARIFÁRIA 176: JALES (LATITUDE: 20º16’08” S LONGITUDE: 50º32’45”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;APARECIDA D’OESTE;11033;;ADE
SP;ASPASIA;11915;;ASPA
SP;DIRCE REIS;11186;;DCR
SP;DOLCINOPOLIS;11191;;DLS
SP;GUZOLANDIA;11257;;GZA
SP;JALES;11316;;JLS
SP;MARINOPOLIS;11366;;MLS
SP;MESOPOLIS;11846;;MESO
SP;NOVA CANAA PAULISTA;11908;;NOCN
SP;PALMEIRA D’OESTE;11435;;PDE
SP;PARANAPUA;11444;;PNP
SP;PONTALINDA;11493;;PONL
SP;POPULINA;11495;;PPL
SP;RUBINEIA;11545;;RNA
SP;SANTA ALBERTINA;11611;;SAB
SP;SANTA CLARA D’OESTE;11615;;SCW
SP;SANTA FE DO SUL;11621;;SFL
SP;SANTA RITA D’OESTE;11629;;SYD
SP;SANTA SALETE;11916;;SSTE
SP;SANTANA DA PONTE PENSA;11588;;SKP
SP;SAO FRANCISCO;11552;;SOF
SP;TRES FRONTEIRAS;11672;;TFS
SP;TURMALINA;11676;;TMA
SP;URANIA;11681;;UNA
SP;VITORIA BRASIL;11798;;VIBR
ÁREA TARIFÁRIA 176A: PARANAIBA (LATITUDE: 19º40’38” S LONGITUDE: 51º11’27”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
MS;APARECIDA DO TABOADO;66002;;ATD
MS;PARANAIBA;66005;;PNB
ÁREA TARIFÁRIA 182: PRESIDENTE PRUDENTE (LATITUDE: 22º07’32” S LONGITUDE: 51º23’20”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ALFREDO MARCONDES;11012;;AFS
SP;ALVARES MACHADO;11016;;AMH
SP;ANHUMAS;11030;;AHU
SP;CAIABU;11129;;CIK
SP;CAIUA;11131;;CYU
SP;EMILIANOPOLIS;12052;;EMIL
SP;ESTRELA DO NORTE;11210;;ENE
SP;EUCLIDES DA CUNHA PAULISTA;11211;;ECP
SP;IEPE;11269;;IPE
SP;INDIANA;11276;;IDI
SP;JOAO RAMALHO;11323;;JRM
SP;MARABA PAULISTA;11361;;MPY
SP;MARTINOPOLIS;11368;;MPO
SP;MIRANTE DO PARANAPANEMA;11377;;MPP
SP;NANTES;12071;;NANT
SP;NARANDIBA;11399;;NND
SP;PIQUEROBI;11471;;PQB
SP;PIRAPOZINHO;11482;;PPZ
SP;PRESIDENTE BERNARDES;11505;;PSB
SP;PRESIDENTE EPITACIO;11506;;PSE
SP;PRESIDENTE PRUDENTE;11507;;PPE
SP;PRESIDENTE VENCESLAU;11508;;PVL
SP;RANCHARIA;11517;;RAC
SP;REGENTE FEIJO;11519;;RGF
SP;RIBEIRAO DOS INDIOS;11872;;RIIN
SP;ROSANA;11542;;ROA
SP;SANDOVALINA;11587;;SVL
SP;SANTO ANASTACIO;11632;;SAO
SP;SANTO EXPEDITO;11638;;SXP
SP;TACIBA;11645;;TCI
SP;TARABAI;11659;;TAR
SP;TEODORO SAMPAIO;11663;;TOP
ÁREA TARIFÁRIA 183: ASSIS (LATITUDE: 22º39’42” S LONGITUDE: 50º24’44”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ASSIS;11050;;ASI
SP;BORA;11110;;BOW
SP;CANDIDO MOTA;11141;;CDM
SP;CRUZALIA;11180;;CZI
SP;ECHAPORA;11196;;EHP
SP;FLORINIA;11224;;FON
SP;LUTECIA;11351;;LUE
SP;MARACAI;11362;;MCY
SP;PALMITAL;11436;;PMT
SP;PARAGUACU PAULISTA;11440;;PGP
SP;PEDRINHAS PAULISTA;11754;;PDRH
SP;PLATINA;11487;;PTK
SP;QUATA;11511;;QAA
SP;TARUMA;11945;;TUM
ÁREA TARIFÁRIA 186: ARACATUBA (LATITUDE: 21º12’32” S LONGITUDE: 50º25’58”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ALTO ALEGRE;11014;;AAL
SP;ARACATUBA;11037;;ARC
SP;AVANHANDAVA;11054;;AHV
SP;BARBOSA;11064;;BBS
SP;BENTO DE ABREU;11077;;BNB
SP;BILAC;11080;;BLC
SP;BIRIGUI;11081;;BGU
SP;BRAUNA;11117;;BUN
SP;BREJO ALEGRE;11930;;BRAL
SP;BURITAMA;11121;;BTA
SP;CLEMENTINA;11165;;CTY
SP;COROADOS;11170;;COW
SP;GABRIEL MONTEIRO;11230;;GBT
SP;GLICERIO;11237;;GCR
SP;GUARARAPES;11250;;GAP
SP;LAVINIA;11336;;LVA
SP;LOURDES;11914;;LUDS
SP;LUIZIANIA;11348;;LUI
SP;PENAPOLIS;11459;;PNI
SP;PIACATU;11464;;PCT
SP;PLANALTO;11486;;PLX
SP;RUBIACEA;11544;;RUB
SP;SANTO ANTONIO DO ARACANGUA;11963;;STAR
SP;SANTOPOLIS DO AGUAPEI;11591;;STI
SP;TURIUBA;11675;;TUB
SP;VALPARAISO;11687;;VAP
SP;ZACARIAS;11702;;ZACA
ÁREA TARIFÁRIA 187: ANDRADINA (LATITUDE: 20º53’46” S LONGITUDE: 51º22’46”);;;;
